0-hammer-v1/return,0-hammer-v1/success,1-push-wall-v1/return,1-push-wall-v1/success,2-faucet-close-v1/return,2-faucet-close-v1/success,3-push-back-v1/return,3-push-back-v1/success,4-stick-pull-v1/return,4-stick-pull-v1/success,5-handle-press-side-v1/return,5-handle-press-side-v1/success,6-push-v1/return,6-push-v1/success,7-shelf-place-v1/return,7-shelf-place-v1/success,8-window-close-v1/return,8-window-close-v1/success,9-peg-unplug-side-v1/return,9-peg-unplug-side-v1/success,avg_return,test/deterministic/average_success,cl_method,x,steps_per_task,train/active_env
-29.87392185561649,0.0,-29.34756851100685,0.0,-30.253058770065277,0.0,-64.49639115124418,0.0,-29.504320293863756,0.0,-30.778480647620636,0.0,-32.74311262259484,0.0,-31.44914195657652,0.0,-36.595715023878086,0.0,-52.52558019667291,0.0,-36.75672910291395,0.0,cotasp,1,1000000,0
-33.54814230059104,0.0,-26.79696313343654,0.0,-23.78134858928329,0.0,-62.06652516783542,0.0,-35.6977989495487,0.0,-34.68293196162678,0.0,-32.9927368544853,0.0,-32.162802563751214,0.0,-33.30843841488421,0.0,-62.57839169863141,0.0,-37.76160796340739,0.0,cotasp,20001,1000000,0
-27.14786873467632,0.0,-21.97490379575718,0.0,-22.56607106395263,0.0,-94.43282899723634,0.0,-26.38860161402991,0.0,-44.65144502560542,0.0,-27.32788283657677,0.0,-62.62455791456766,0.0,-27.74421525603048,0.0,-54.71535969871741,0.0,-40.95737349371502,0.0,cotasp,40001,1000000,0
-14.982536077487325,0.0,-34.081907367910304,0.0,-51.76259254090421,0.0,-125.13491342781256,0.0,-51.78310225915641,0.0,-56.25620185416305,0.0,-39.29805416565708,0.0,-71.91393581299397,0.0,-55.40524623607065,0.0,-128.12875568201764,0.0,-62.874724542417326,0.0,cotasp,60001,1000000,0
-59.63921322465452,0.0,-28.385611594562864,0.0,105.80094499997033,0.0,-132.62738524055322,0.0,-69.03937614921418,0.0,-55.3720517469836,0.0,-2.1245955533626755,0.0,-78.4440950703641,0.0,-41.14427657237431,0.0,-100.10566237970411,0.0,-46.10813225318033,0.0,cotasp,80001,1000000,0
-9.57902680898685,0.0,-43.89699845515264,0.0,1588.3809746908337,0.0,-110.6747422019874,0.0,-53.684131892241695,0.0,-69.64783892180029,0.0,-16.48091250718221,0.0,-42.607788518807,0.0,-70.4625453001221,0.0,721.2522326913708,0.0,189.25992227759244,0.0,cotasp,100001,1000000,0
27816.79123242734,0.0,-40.43944694856487,0.0,-27.08407402096652,0.0,-117.0936289032317,0.0,-33.2880385220932,0.0,-55.125721867082746,0.0,-56.821548609129366,0.0,-45.258738377855366,0.0,-72.26697284791217,0.0,-58.06307360060276,0.0,2731.13499887299,0.0,cotasp,120001,1000000,0
55870.99714711432,0.0,-38.39022941177301,0.0,-38.45022481633187,0.0,-103.69005301564933,0.0,-36.45177311613576,0.0,-59.238731884936215,0.0,-79.34692119043555,0.0,-46.37538383709857,0.0,-62.16765921340747,0.0,2765.954032892776,0.0,5817.284020352133,0.0,cotasp,140001,1000000,0
79343.12292855018,0.2,-39.486316185316994,0.0,5343.115123279959,0.0,-105.89462662037178,0.0,-43.69598476659443,0.0,-64.73375131497707,0.0,-76.2283469181504,0.0,-83.59638352039633,0.0,-58.472543419209785,0.0,-53.88297363979064,0.0,8416.024712544531,0.02,cotasp,160001,1000000,0
88968.58887190818,0.9,-27.955575263152014,0.0,-27.21250511693563,0.0,-101.0827802151907,0.0,-51.85390354878906,0.0,-64.66139895592491,0.0,-64.04905389445392,0.0,-55.5303212162809,0.0,-57.92733004658032,0.0,-32.36715966169407,0.0,8848.594884398915,0.09,cotasp,180001,1000000,0
